product_name,brand,Category,city,order_date,month,retail_price,discounted_price,discount_pct,discount_band,price_band,units_sold,revenue,product_rating_clean,Rating_Status,,,,,
AutoGarh LedStrobeLightWhite-F546L Motorbike LED Bulb,AutoGarh,Automotive,Mumbai,14-10-2023,2023-10,1399,287,79.5,50%+,Mid (500-1500),290,23055,0,Not Rated,,,,,
Services Junction Gold Plated Ganesh Idol Showpiece For Pooja Showpiece  -  6.5 cm,Services Junction,Home Decor & Festive Needs,Bengaluru,18-12-2023,2023-12,1799,1689,6.1,0-10%,Premium (1500-5000),137,836,0,Not Rated,,,,,
Ocean OPGDG-4/100 Digital Caliper,Ocean,Home Improvement,Chennai,20-11-2023,2023-11,4200,3800,9.5,0-10%,Premium (1500-5000),234,2223,0,Not Rated,,,,,
ZAIRE Casual 3/4 Sleeve Printed Women's Top,ZAIRE,Clothing,Chennai,16-09-2023,2023-09,795,636,20,10-30%,Mid (500-1500),466,9320,0,Not Rated,,,,,
"Mee Mee Baby Boy's, Baby Girl's Romper",Mee Mee,Baby Care,Pune,09-05-2023,2023-05,399,399,0,0-10%,Budget (<500),191,0,0,Not Rated,,,,,
Babeezworld Baby Boy's Romper,Babeezworld,Baby Care,Bengaluru,14-09-2023,2023-09,999,499,50.1,50%+,Mid (500-1500),466,23347,0,Not Rated,,,,,
Satovira Party Sleeveless Solid Women's Top,Satovira,Clothing,Hyderabad,18-11-2023,2023-11,1499,1499,0,0-10%,Mid (500-1500),69,0,0,Not Rated,,,,,
AutoGarh LedStrobeLightWhite-F517L Motorbike LED Bulb,AutoGarh,Automotive,Bengaluru,06-12-2023,2023-12,1399,287,79.5,50%+,Mid (500-1500),415,32993,0,Not Rated,,,,,
Babeezworld Baby Boy's Romper,Babeezworld,Baby Care,Hyderabad,23-09-2023,2023-09,999,499,50.1,50%+,Mid (500-1500),109,5461,0,Not Rated,,,,,
Babeezworld Baby Boy's Romper,Babeezworld,Baby Care,Hyderabad,28-07-2023,2023-07,999,499,50.1,50%+,Mid (500-1500),166,8317,0,Not Rated,,,,,
Babeezworld Baby Boy's Romper,Babeezworld,Baby Care,Pune,01-09-2023,2023-09,999,499,50.1,50%+,Mid (500-1500),232,11623,0,Not Rated,,,,,
ANASAZI Casual Full Sleeve Printed Women's Top,ANASAZI,Clothing,Pune,24-08-2023,2023-08,1099,1099,0,0-10%,Mid (500-1500),185,0,0,Not Rated,,,,,
Tryfa Casual Sleeveless Solid Women's Top,Tryfa,Clothing,Pune,06-11-2023,2023-11,1299,699,46.2,30-50%,Mid (500-1500),348,16078,0,Not Rated,,,,,
"Mee Mee Baby Boy's, Baby Girl's Romper",Mee Mee,Baby Care,Bengaluru,21-05-2023,2023-05,399,399,0,0-10%,Budget (<500),395,0,0,Not Rated,,,,,
Services Junction Beautiful Black and White color Diamond Ganesh idol for Pooja Showpiece  -  5 cm,Services Junction,Home Decor & Festive Needs,Hyderabad,11-10-2023,2023-10,1499,1249,16.7,10-30%,Mid (500-1500),430,7181,0,Not Rated,,,,,
ZAIRE Casual 3/4 Sleeve Floral Print Women's Top,ZAIRE,Clothing,Bengaluru,20-10-2023,2023-10,695,556,20,10-30%,Mid (500-1500),433,8660,0,Not Rated,,,,,
Wajbee Casual 3/4 Sleeve Solid Women's Top,Wajbee,Clothing,Chennai,14-04-2023,2023-04,999,398,60.2,50%+,Mid (500-1500),290,17458,0,Not Rated,,,,,
Babeezworld Baby Boy's Romper,Babeezworld,Baby Care,Mumbai,05-09-2023,2023-09,999,499,50.1,50%+,Mid (500-1500),337,16884,0,Not Rated,,,,,
Services Junction Showpiece  -  4 cm,Services Junction,Home Decor & Festive Needs,Mumbai,20-09-2023,2023-09,1599,1299,18.8,10-30%,Premium (1500-5000),259,4869,0,Not Rated,,,,,
Babeezworld Baby Boy's Romper,Babeezworld,Baby Care,Hyderabad,14-05-2023,2023-05,999,499,50.1,50%+,Mid (500-1500),313,15681,0,Not Rated,,,,,
Babeezworld Baby Boy's Romper,Babeezworld,Baby Care,Delhi,16-10-2023,2023-10,999,499,50.1,50%+,Mid (500-1500),341,17084,0,Not Rated,,,,,
ZAIRE Casual 3/4 Sleeve Polka Print Women's Top,ZAIRE,Clothing,Chennai,12-08-2023,2023-08,795,636,20,10-30%,Mid (500-1500),69,1380,0,Not Rated,,,,,
Babeezworld Baby Boy's Romper,Babeezworld,Baby Care,Chennai,14-11-2023,2023-11,999,499,50.1,50%+,Mid (500-1500),55,2756,0,Not Rated,,,,,
INVENTURE RETAIL Nail Cutter,INVENTURE RETAIL,Unknown,Delhi,20-06-2023,2023-06,299,199,33.4,30-50%,Budget (<500),13,434,0,Not Rated,,,,,
FATEN Casual Sleeveless Printed Women's Top,FATEN,Clothing,Delhi,05-06-2023,2023-06,999,699,30,10-30%,Mid (500-1500),471,14130,0,Not Rated,,,,,
Status Quo Solid Men's Track Pants,Status Quo,Clothing,Bengaluru,20-10-2023,2023-10,1399,1399,0,0-10%,Mid (500-1500),382,0,0,Not Rated,,,,,
YOA Premium Synthetic Kabuki Makeup Brush Set,YOA,Beauty and Personal Care,Hyderabad,19-08-2023,2023-08,3583,1962,45.2,30-50%,Premium (1500-5000),274,12385,0,Not Rated,,,,,
Tucasa LG-295 Table Lamp,Tucasa,Home Decor & Festive Needs,Mumbai,28-12-2023,2023-12,2322,1161,50,30-50%,Premium (1500-5000),500,25000,0,Not Rated,,,,,
Valentine Sportswear Women's Capri,Valentine,Clothing,Mumbai,25-09-2023,2023-09,749,562,25,10-30%,Mid (500-1500),77,1925,0,Not Rated,,,,,
Tucasa LG-186 Table Lamp,Tucasa,Pens & Stationery,Bengaluru,09-06-2023,2023-06,1498,749,50,30-50%,Mid (500-1500),18,900,0,Not Rated,,,,,
Tucasa LG-230 Table Lamp,Tucasa,Pens & Stationery,Pune,18-11-2023,2023-11,1915,958,50,30-50%,Premium (1500-5000),443,22150,0,Not Rated,,,,,
Brahmz Glass Mossiac Table Lamp,Brahmz,Home Decor & Festive Needs,Hyderabad,27-12-2023,2023-12,1999,999,50,30-50%,Premium (1500-5000),258,12900,0,Not Rated,,,,,
NAVISHA Plastic Hand Juicer,NAVISHA,Kitchen & Dining,Pune,10-08-2023,2023-08,799,600,24.9,10-30%,Mid (500-1500),266,6623,0,Not Rated,,,,,
Brahmz Glass Mossiac Table Lamp,Brahmz,Home Decor & Festive Needs,Pune,01-08-2023,2023-08,999,699,30,10-30%,Mid (500-1500),396,11880,0,Not Rated,,,,,
Tucasa LG-110 Table Lamp,Tucasa,Pens & Stationery,Hyderabad,08-05-2023,2023-05,1942,971,50,30-50%,Premium (1500-5000),467,23350,0,Not Rated,,,,,
Via Italia Baby Girl's Gathered Dress,Via Italia,Baby Care,Bengaluru,03-05-2023,2023-05,1299,1299,0,0-10%,Mid (500-1500),107,0,0,Not Rated,,,,,
"REAL Graphic Print Girl's, Women's Raincoat",REAL,Clothing,Bengaluru,27-06-2023,2023-06,1000,800,20,10-30%,Mid (500-1500),182,3640,0,Not Rated,,,,,
Yashasvi Baby Girl's Layered Dress,Yashasvi,Baby Care,Hyderabad,09-05-2023,2023-05,1299,649,50,30-50%,Mid (500-1500),290,14500,0,Not Rated,,,,,
MKB Baby Girl's Shirt Dress,MKB,Baby Care,Chennai,22-12-2023,2023-12,825,625,24.2,10-30%,Mid (500-1500),84,2033,0,Not Rated,,,,,
Bodycare Boy's Brief,Bodycare,Clothing,Pune,28-07-2023,2023-07,480,480,0,0-10%,Budget (<500),296,0,0,Not Rated,,,,,
Toddla Baby Girl's Gathered Dress,Toddla,Baby Care,Hyderabad,12-08-2023,2023-08,999,399,60.1,50%+,Mid (500-1500),29,1743,0,Not Rated,,,,,
Baby Moshai Baby Girl's A-line Dress,Baby Moshai,Baby Care,Pune,12-06-2023,2023-06,2100,900,57.1,50%+,Premium (1500-5000),24,1370,0,Not Rated,,,,,
Brahmz Glass Mossiac Table Lamp,Brahmz,Home Decor & Festive Needs,Pune,27-05-2023,2023-05,1299,667,48.7,30-50%,Mid (500-1500),97,4724,0,Not Rated,,,,,
Rainfun Self Design Women's Raincoat,Rainfun,Clothing,Mumbai,14-10-2023,2023-10,899,525,41.6,30-50%,Mid (500-1500),462,19219,0,Not Rated,,,,,
My Little Lambs Baby Girl's Gathered Dress,My Little Lambs,Baby Care,Hyderabad,19-12-2023,2023-12,1550,1550,0,0-10%,Premium (1500-5000),217,0,0,Not Rated,,,,,
Snuggles Solid Round Neck Casual Baby Girl's Sweater,Snuggles,Clothing,Chennai,13-05-2023,2023-05,499,424,15,10-30%,Budget (<500),210,3150,0,Not Rated,,,,,
Haier 247 L Frost Free Double Door Refrigerator,Haier,Home & Kitchen,Bengaluru,26-07-2023,2023-07,24300,19460,19.9,10-30%,Luxury (5000+),42,836,0,Not Rated,,,,,
Fame16 Women's Pyjama,Fame16,Clothing,Hyderabad,11-05-2023,2023-05,1299,1299,0,0-10%,Mid (500-1500),11,0,0,Not Rated,,,,,
Jazzup Solid Girl's Grey Track Pants,Jazzup,Clothing,Chennai,25-09-2023,2023-09,599,239,60.1,50%+,Mid (500-1500),409,24581,0,Not Rated,,,,,
arnavs Multi1 Bottle Opener Set,arnavs,Kitchen & Dining,Delhi,10-05-2023,2023-05,500,250,50,30-50%,Mid (500-1500),66,3300,0,Not Rated,,,,,
Technotech Q3 Wireless Optical Mouse Gaming Mouse,Technotech,Gaming,Chennai,19-08-2023,2023-08,799,339,57.6,50%+,Mid (500-1500),413,23789,0,Not Rated,,,,,
Twin Twine Girl's A-line Orange Dress,Twin Twine,Clothing,Chennai,06-05-2023,2023-05,899,899,0,0-10%,Mid (500-1500),485,0,0,Not Rated,,,,,
Yoshana Girl's Gathered Pink Dress,Yoshana,Clothing,Bengaluru,08-07-2023,2023-07,899,499,44.5,30-50%,Mid (500-1500),220,9790,0,Not Rated,,,,,
I Ball IBCTDC 160/2gb/DDR2 with Dual Core 2 RAM 160 Hard Disk,I Ball,Computers,Pune,27-07-2023,2023-07,12999,6990,46.2,30-50%,Luxury (5000+),356,16447,0,Not Rated,,,,,
Fabpoppy Women's Pyjama,Fabpoppy,Clothing,Hyderabad,08-05-2023,2023-05,799,365,54.3,50%+,Mid (500-1500),205,11132,0,Not Rated,,,,,
Jazzup Solid Girl's Multicolor Track Pants,Jazzup,Clothing,Bengaluru,20-04-2023,2023-04,1599,419,73.8,50%+,Premium (1500-5000),28,2066,0,Not Rated,,,,,
Globe Graphic Print Baby Boy's Round Neck Orange T-Shirt,Globe,Baby Care,Pune,22-07-2023,2023-07,749,374,50.1,50%+,Mid (500-1500),422,21142,0,Not Rated,,,,,
Yoshana Girl's Layered Purple Dress,Yoshana,Clothing,Pune,10-09-2023,2023-09,1299,629,51.6,50%+,Mid (500-1500),346,17854,0,Not Rated,,,,,
"Maniac Solid Women's Round Neck, V-neck Yellow, Pink T-Shirt",Maniac,Clothing,Mumbai,12-07-2023,2023-07,1199,499,58.4,50%+,Mid (500-1500),127,7417,0,Not Rated,,,,,
Abstract Mood Solid Girl's Black Track Pants,Abstract Mood,Clothing,Pune,06-04-2023,2023-04,999,750,24.9,10-30%,Mid (500-1500),400,9960,0,Not Rated,,,,,
Prrem's Full Sleeve Solid Women's Sweatshirt,Prrem's,Clothing,Bengaluru,13-10-2023,2023-10,3240,3240,0,0-10%,Premium (1500-5000),420,0,0,Not Rated,,,,,
Ocean Q3 Wireless Optical Mouse Gaming Mouse,Ocean,Gaming,Chennai,05-11-2023,2023-11,799,339,57.6,50%+,Mid (500-1500),226,13018,0,Not Rated,,,,,
Jazzup Girl's A-line Multicolor Dress,Jazzup,Clothing,Bengaluru,27-05-2023,2023-05,599,279,53.4,50%+,Mid (500-1500),200,10680,0,Not Rated,,,,,
Oriflame Waterproof Multipurpose Bag,Oriflame,Pens & Stationery,Bengaluru,27-04-2023,2023-04,2499,1599,36,30-50%,Premium (1500-5000),104,3744,0,Not Rated,,,,,
Mustard Solid Women's Scoop Neck White T-Shirt,Mustard,Clothing,Pune,26-09-2023,2023-09,299,299,0,0-10%,Budget (<500),407,0,0,Not Rated,,,,,
Jazzup Solid Girl's Multicolor Track Pants,Jazzup,Clothing,Mumbai,13-11-2023,2023-11,1599,419,73.8,50%+,Premium (1500-5000),84,6199,0,Not Rated,,,,,
FTCBAZAR Girl's Layered Blue Dress,FTCBAZAR,Clothing,Bengaluru,12-11-2023,2023-11,1299,399,69.3,50%+,Mid (500-1500),462,32017,0,Not Rated,,,,,
Koolkids Girl's A-line Blue Dress,Koolkids,Clothing,Bengaluru,13-11-2023,2023-11,1665,672,59.6,50%+,Premium (1500-5000),157,9357,0,Not Rated,,,,,
Romano Full Sleeve Solid Women's Sweatshirt,Romano,Clothing,Bengaluru,20-05-2023,2023-05,1395,1395,0,0-10%,Mid (500-1500),396,0,0,Not Rated,,,,,
chetan xaiomiredmi1s Haptic/Tactile touchscreen,chetan,Mobiles & Accessories,Delhi,05-10-2023,2023-10,999,649,35,30-50%,Mid (500-1500),380,13300,0,Not Rated,,,,,
JayEnterprise Plastic Hand Juicer,JayEnterprise,Kitchen & Dining,Delhi,10-07-2023,2023-07,1499,750,50,30-50%,Mid (500-1500),374,18700,0,Not Rated,,,,,
Denim 86 Slim Fit Men's Jeans,Denim 86,Clothing,Mumbai,17-07-2023,2023-07,1899,1059,44.2,30-50%,Premium (1500-5000),472,20862,0,Not Rated,,,,,
"youniqueshop Plastic, Stainless Steel Hand Juicer",youniqueshop,Kitchen & Dining,Hyderabad,25-10-2023,2023-10,810,640,21,10-30%,Mid (500-1500),316,6636,0,Not Rated,,,,,
SAVON Slim Fit Men's Jeans,SAVON,Clothing,Hyderabad,25-04-2023,2023-04,1800,900,50,30-50%,Premium (1500-5000),287,14350,0,Not Rated,,,,,
Being Trendy Quit-X eGo-Twist CE 5 Automatic Electronic Cigarette,Being Trendy,Health & Personal Care Appliances,Bengaluru,04-08-2023,2023-08,2999,599,80,50%+,Premium (1500-5000),395,31600,2,Rated,,,,,
Being Trendy Quit-X eGo-Twist CE-4 Automatic Electronic Cigarette,Being Trendy,Health & Personal Care Appliances,Chennai,17-05-2023,2023-05,2999,699,76.7,50%+,Premium (1500-5000),384,29453,0,Not Rated,,,,,
Tech Yug BH-503 bluethooth headset Wireless Bluetooth Headset,Tech Yug,Gaming,Pune,25-07-2023,2023-07,1499,850,43.3,30-50%,Mid (500-1500),105,4547,0,Not Rated,,,,,
Hangrr Premium Single Breasted Solid Men's Suit,Hangrr,Clothing,Bengaluru,22-05-2023,2023-05,15999,7883,50.7,50%+,Luxury (5000+),290,14703,3.7,Rated,,,,,
FAB-FLASH Fire Retrardant PVC 2.5 sq/mm Yellow 91 m Wire,FAB-FLASH,Tools & Hardware,Hyderabad,20-08-2023,2023-08,2499,1666,33.3,30-50%,Premium (1500-5000),83,2764,0,Not Rated,,,,,
Maveric Pleasing Single Breasted Solid Men's Suit,Maveric,Clothing,Mumbai,23-11-2023,2023-11,4140,3690,10.9,10-30%,Premium (1500-5000),435,4742,0,Not Rated,,,,,
Singh Xpress Combo of 2 Naughty Angry Bird in Catapult - Key Chains - Car and Bike - Fancy - Accessories Rubber - - Valentines Special Carabiner,Singh Xpress,Sports & Fitness,Chennai,13-11-2023,2023-11,545,193,64.6,50%+,Mid (500-1500),56,3618,0,Not Rated,,,,,
Beebay Baby Boy's Solid Casual Shirt,Beebay,Clothing,Delhi,24-05-2023,2023-05,795,397,50.1,50%+,Mid (500-1500),485,24299,0,Not Rated,,,,,
Brahaan BLUE TAG Single Breasted Solid Men's Suit,Brahaan BLUE TAG,Clothing,Delhi,21-06-2023,2023-06,8995,7196,20,10-30%,Luxury (5000+),174,3480,5,Rated,,,,,
Ezone Set Of 2 Black ROYALENFIELD bike Keychain Carabiner,Ezone,Sports & Fitness,Mumbai,28-04-2023,2023-04,699,139,80.1,50%+,Mid (500-1500),362,28996,0,Not Rated,,,,,
FAB-FLASH Fire Retrardant PVC 4 sq/mm Black 91 m Wire,FAB-FLASH,Tools & Hardware,Chennai,12-10-2023,2023-10,2999,2349,21.7,10-30%,Premium (1500-5000),235,5100,0,Not Rated,,,,,
FAB-FLASH Fire Retrardant PVC 1.5 sq/mm Yellow 91 m Wire,FAB-FLASH,Tools & Hardware,Mumbai,04-07-2023,2023-07,1599,1099,31.3,30-50%,Premium (1500-5000),258,8075,0,Not Rated,,,,,
Purple Nasty Baby Boy's Solid Casual Shirt,Purple Nasty,Clothing,Chennai,05-12-2023,2023-12,1199,839,30,10-30%,Mid (500-1500),269,8070,0,Not Rated,,,,,
Ezone Mickey Mouse Key Chain(Multicolor) Carabiner,Ezone,Sports & Fitness,Pune,10-06-2023,2023-06,399,129,67.7,50%+,Budget (<500),261,17670,0,Not Rated,,,,,
The Design Factory Single Breasted Solid Men's Suit,The Design Factory,Clothing,Pune,06-06-2023,2023-06,11499,9499,17.4,10-30%,Luxury (5000+),380,6612,0,Not Rated,,,,,
Tatkim Single Breasted Solid Men's Suit,Tatkim,Clothing,Pune,13-06-2023,2023-06,7999,2499,68.8,50%+,Luxury (5000+),362,24906,0,Not Rated,,,,,
Richard Cole Mandarin Solid Men's Suit,Richard Cole,Clothing,Delhi,16-04-2023,2023-04,7999,2499,68.8,50%+,Luxury (5000+),153,10526,0,Not Rated,,,,,
Livastar Men's Solid Casual Blue Shirt,Livastar,Clothing,Hyderabad,27-06-2023,2023-06,1499,1499,0,0-10%,Mid (500-1500),111,0,0,Not Rated,,,,,
Cotton World Men's Solid Casual Linen White Shirt,Cotton World,Clothing,Mumbai,12-09-2023,2023-09,2290,2290,0,0-10%,Premium (1500-5000),442,0,0,Not Rated,,,,,
Lal Haveli Decorative Owl Showpiece  -  15.24 cm,Lal Haveli,Home Decor & Festive Needs,Hyderabad,12-06-2023,2023-06,900,679,24.6,10-30%,Mid (500-1500),134,3296,0,Not Rated,,,,,
Craftuno Handcrafted Soapstone Mini Cannon Showpiece  -  6.25 cm,Craftuno,Home Decor & Festive Needs,Chennai,18-05-2023,2023-05,399,399,0,0-10%,Budget (<500),231,0,0,Not Rated,,,,,
Itzmyfashion Alloy Necklace,Itzmyfashion,Jewellery,Bengaluru,05-10-2023,2023-10,500,399,20.2,10-30%,Mid (500-1500),216,4363,0,Not Rated,,,,,
Joyeria Milan Colorful Multistrand Resin Necklace,Joyeria Milan,Jewellery,Hyderabad,02-05-2023,2023-05,399,399,0,0-10%,Budget (<500),479,0,0,Not Rated,,,,,
Desert Eshop Real Antique Brass Royal 3 Minute Sand Timer 281 Showpiece  -  7 cm,Desert Eshop,Home Decor & Festive Needs,Delhi,26-10-2023,2023-10,699,485,30.6,30-50%,Mid (500-1500),173,5294,5,Rated,,,,,
Jewelina Gems Brass Necklace,Jewelina Gems,Jewellery,Pune,28-11-2023,2023-11,1300,399,69.3,50%+,Mid (500-1500),441,30561,0,Not Rated,,,,,
"Imitzworld Wood, Alloy, Plastic Necklace",Imitzworld,Jewellery,Bengaluru,23-06-2023,2023-06,765,345,54.9,50%+,Mid (500-1500),233,12792,0,Not Rated,,,,,
Fayon Alloy Necklace,Fayon,Jewellery,Mumbai,11-06-2023,2023-06,1230,492,60,50%+,Mid (500-1500),131,7860,0,Not Rated,,,,,
Charu Fashionz CER16 Showpiece  -  33 cm,Charu Fashionz,Home Decor & Festive Needs,Bengaluru,23-10-2023,2023-10,440,350,20.5,10-30%,Budget (<500),112,2296,0,Not Rated,,,,,
Elephant 9.84 inch Lid,Elephant,Kitchen & Dining,Chennai,03-09-2023,2023-09,500,450,10,0-10%,Mid (500-1500),50,500,4,Rated,,,,,
GoldNera Brass Chain,GoldNera,Jewellery,Hyderabad,01-11-2023,2023-11,1017,399,60.8,50%+,Mid (500-1500),133,8086,0,Not Rated,,,,,
Fash Blush Forever New Gold & White Pearl Chunk Alloy Necklace,Fash Blush,Jewellery,Hyderabad,22-10-2023,2023-10,2999,199,93.4,50%+,Premium (1500-5000),268,25031,0,Not Rated,,,,,
Hotpiper Elegant Floral Design Cubic Zirconia Yellow Gold Plated Acrylic Necklace,Hotpiper,Jewellery,Pune,11-11-2023,2023-11,780,390,50,30-50%,Mid (500-1500),361,18050,0,Not Rated,,,,,
Samriddhivastu asthdhatu swastik pyramid Showpiece  -  10 cm,Samriddhivastu,Home Decor & Festive Needs,Hyderabad,03-05-2023,2023-05,300,199,33.7,30-50%,Budget (<500),435,14660,0,Not Rated,,,,,
Dhrohar Black and Gold Tone Rose Gold Plated Alloy Necklace,Dhrohar,Jewellery,Mumbai,19-12-2023,2023-12,1499,449,70,50%+,Mid (500-1500),45,3150,0,Not Rated,,,,,
"Falconoverseas Durable Construction Lac, Bone Necklace",Falconoverseas,Jewellery,Delhi,16-05-2023,2023-05,599,247,58.8,50%+,Mid (500-1500),474,27871,0,Not Rated,,,,,
LAMS SNTH-MYSPLC3 Showpiece  -  21 cm,LAMS,Home Decor & Festive Needs,Bengaluru,14-04-2023,2023-04,1200,745,37.9,30-50%,Mid (500-1500),74,2805,0,Not Rated,,,,,
FashBlush Chic Bead Glam Alloy Necklace,FashBlush,Jewellery,Bengaluru,20-06-2023,2023-06,2499,239,90.4,50%+,Premium (1500-5000),225,20340,0,Not Rated,,,,,
Chinhhari Arts Showpiece  -  24 cm,Chinhhari Arts,Home Decor & Festive Needs,Delhi,05-08-2023,2023-08,1500,900,40,30-50%,Premium (1500-5000),244,9760,0,Not Rated,,,,,
Informatix Acrylic Necklace,Informatix,Jewellery,Bengaluru,04-04-2023,2023-04,799,399,50.1,50%+,Mid (500-1500),331,16583,0,Not Rated,,,,,
Vedic Vaani Abhishek Decorative Shankh,Vedic Vaani,Home Decor & Festive Needs,Pune,20-12-2023,2023-12,766,766,0,0-10%,Mid (500-1500),430,0,0,Not Rated,,,,,
GCMR Silver Plated Wood Necklace,GCMR,Jewellery,Delhi,15-05-2023,2023-05,1950,350,82.1,50%+,Premium (1500-5000),358,29392,0,Not Rated,,,,,
Marwal India Pure Brass Antique Design Real Telescope Gift Showpiece  -  6 cm,Marwal,Home Decor & Festive Needs,Hyderabad,24-12-2023,2023-12,1599,599,62.5,50%+,Premium (1500-5000),335,20938,0,Not Rated,,,,,
Harp Metal Necklace,Harp,Jewellery,Mumbai,25-09-2023,2023-09,800,400,50,30-50%,Mid (500-1500),240,12000,0,Not Rated,,,,,
Fab Fashion Alloy Necklace,Fab Fashion,Jewellery,Hyderabad,16-05-2023,2023-05,950,428,54.9,50%+,Mid (500-1500),114,6259,0,Not Rated,,,,,
IESD Metal Necklace,IESD,Jewellery,Delhi,16-10-2023,2023-10,300,250,16.7,10-30%,Budget (<500),86,1436,0,Not Rated,,,,,
Diti Enterprises Showpiece  -  5 cm,Diti Enterprises,Home Decor & Festive Needs,Pune,21-06-2023,2023-06,1299,581,55.3,50%+,Mid (500-1500),102,5641,0,Not Rated,,,,,
Hotpiper Silver Round Silver Plated Acrylic Necklace,Hotpiper,Jewellery,Pune,01-11-2023,2023-11,640,325,49.2,30-50%,Mid (500-1500),114,5609,0,Not Rated,,,,,
ETTI Wood Necklace,ETTI,Jewellery,Mumbai,22-06-2023,2023-06,1000,199,80.1,50%+,Mid (500-1500),365,29237,0,Not Rated,,,,,
Equinox EB-EQ 33 Body Fat Analyzer,Unknown,Beauty and Personal Care,Pune,13-05-2023,2023-05,4440,1999,55,50%+,Premium (1500-5000),189,10395,3.6,Rated,,,,,
"Estella Fashion Acrylic, Alloy Necklace",Estella Fashion,Jewellery,Pune,06-10-2023,2023-10,1100,499,54.6,50%+,Mid (500-1500),76,4150,0,Not Rated,,,,,
Nihar Pirangi Bomber Showpiece  -  10 cm,Nihar,Home Decor & Festive Needs,Pune,10-11-2023,2023-11,799,194,75.7,50%+,Mid (500-1500),491,37169,5,Rated,,,,,
Unique Design Brass Handpump Showpiece  -  23 cm,Unique Design,Home Decor & Festive Needs,Pune,09-06-2023,2023-06,800,350,56.3,50%+,Mid (500-1500),433,24378,0,Not Rated,,,,,
Jadoo Collections Alloy Necklace,Jadoo Collections,Jewellery,Mumbai,20-07-2023,2023-07,599,299,50.1,50%+,Mid (500-1500),242,12124,0,Not Rated,,,,,
Jewel Paradise Brass Plated Brass Necklace,Jewel Paradise,Jewellery,Mumbai,18-04-2023,2023-04,599,399,33.4,30-50%,Mid (500-1500),162,5411,0,Not Rated,,,,,
"Jewelnation Alloy, Stone Necklace",Jewelnation,Jewellery,Chennai,14-10-2023,2023-10,499,299,40.1,30-50%,Budget (<500),59,2366,0,Not Rated,,,,,
Tanita UM-052 Body Fat Analyzer,Unknown,Beauty and Personal Care,Mumbai,19-04-2023,2023-04,4199,3149,25,10-30%,Premium (1500-5000),149,3725,0,Not Rated,,,,,
SUNVI Rajasthani Rajwada Colourful Ashtray Showpiece  -  2 cm,SUNVI,Home Decor & Festive Needs,Pune,17-06-2023,2023-06,899,419,53.4,50%+,Mid (500-1500),82,4379,0,Not Rated,,,,,
Indian Fashion Guru Artificial Jewellery Ceramic Necklace,Indian Fashion Guru,Jewellery,Pune,12-04-2023,2023-04,850,499,41.3,30-50%,Mid (500-1500),172,7104,0,Not Rated,,,,,
DressBerry Crystal Enamel Plated Metal Necklace,DressBerry,Jewellery,Bengaluru,19-06-2023,2023-06,499,224,55.1,50%+,Budget (<500),267,14712,0,Not Rated,,,,,
NEHP NEH0012 Showpiece  -  22.86 cm,NEHP,Home Decor & Festive Needs,Bengaluru,10-06-2023,2023-06,699,699,0,0-10%,Mid (500-1500),302,0,0,Not Rated,,,,,
Eshoppee One Direction Alloy Necklace,Eshoppee,Jewellery,Pune,05-07-2023,2023-07,499,239,52.1,50%+,Budget (<500),241,12556,0,Not Rated,,,,,
Homedesires Showpiece  -  10.5 cm,Homedesires,Home Decor & Festive Needs,Chennai,05-08-2023,2023-08,899,340,62.2,50%+,Mid (500-1500),428,26622,0,Not Rated,,,,,
Jewelizer Statement Yellow Gold Plated Alloy Necklace,Jewelizer,Jewellery,Bengaluru,27-05-2023,2023-05,1199,449,62.6,50%+,Mid (500-1500),40,2504,0,Not Rated,,,,,
Pg handicrafts Beaded two drawers sofa set showpiece Showpiece  -  10.5 cm,Pg handicrafts,Home Decor & Festive Needs,Pune,04-12-2023,2023-12,1000,800,20,10-30%,Mid (500-1500),383,7660,0,Not Rated,,,,,
GoldNera Alloy Necklace,GoldNera,Jewellery,Hyderabad,02-04-2023,2023-04,998,499,50,30-50%,Mid (500-1500),222,11100,0,Not Rated,,,,,
Eshoppee Designer Silver Finish Alloy Necklace,Eshoppee,Jewellery,Mumbai,15-05-2023,2023-05,499,249,50.1,50%+,Budget (<500),111,5561,0,Not Rated,,,,,
Fash Blush Forever New Black Alloy Choker,Fash Blush,Jewellery,Chennai,20-12-2023,2023-12,1999,289,85.5,50%+,Premium (1500-5000),37,3164,0,Not Rated,,,,,
GoldNera Alloy Necklace,GoldNera,Jewellery,Bengaluru,19-04-2023,2023-04,998,299,70,50%+,Mid (500-1500),371,25970,0,Not Rated,,,,,
Alpana Arts Red Rangoli Showpiece  -  0.5 cm,Alpana Arts,Home Decor & Festive Needs,Pune,22-12-2023,2023-12,700,399,43,30-50%,Mid (500-1500),408,17544,0,Not Rated,,,,,
Jewelizer Bohemian Yellow Gold Plated Alloy Necklace,Jewelizer,Jewellery,Chennai,23-10-2023,2023-10,899,399,55.6,50%+,Mid (500-1500),108,6005,0,Not Rated,,,,,
Fashionzaadi Hollow Out Alloy Necklace,Fashionzaadi,Jewellery,Delhi,15-09-2023,2023-09,699,299,57.2,50%+,Mid (500-1500),214,12241,0,Not Rated,,,,,
Lal Haveli Rajasthani Handmade Decorative Wood Jharoka Showpiece  -  30.48 cm,Lal Haveli,Home Decor & Festive Needs,Pune,11-04-2023,2023-04,1000,749,25.1,10-30%,Mid (500-1500),183,4593,0,Not Rated,,,,,
